node,re_z,im_z,abs_z,R_i,R_ii,R_iii,R_iv_1e6,R_iv_1e8,R_iv_1e10
1,-3.000000,0.000000,3.000000,0.100000,2.056330,8.834843,0.500000,0.320000,0.200000
2,-2.901871,0.019251,2.901934,0.100000,2.069740,8.735905,0.520000,0.340000,0.220000
3,-2.803589,0.037713,2.803843,0.100000,1.961736,8.637112,0.520000,0.340000,0.220000
4,-2.705160,0.055368,2.705727,0.100000,1.001608,8.538481,0.460000,0.300000,0.200000
5,-2.606587,0.072199,2.607587,0.100000,1.723299,8.440025,0.480000,0.320000,0.200000
6,-2.507873,0.088188,2.509423,0.100000,2.094019,8.341762,0.500000,0.320000,0.220000
7,-2.409024,0.103315,2.411239,0.100000,2.172383,8.243710,0.460000,0.300000,0.200000
8,-2.310044,0.117562,2.313034,0.100000,2.207120,8.145886,0.440000,0.280000,0.180000
9,-2.213376,0.091965,2.215285,0.100000,1.964260,8.064246,0.440000,0.280000,0.180000
10,-2.114270,0.105310,2.116891,0.100000,1.784166,7.966832,0.460000,0.300000,0.200000
11,-2.015042,0.117710,2.018477,0.100000,2.082296,7.869707,0.460000,0.320000,0.220000
12,-1.915697,0.129141,1.920045,0.100000,2.061231,7.772897,0.460000,0.300000,0.200000
13,-1.816243,0.139578,1.821599,0.100000,1.901101,7.676428,0.440000,0.300000,0.200000
14,-1.716688,0.148996,1.723142,0.100000,2.087596,7.580330,0.440000,0.300000,0.200000
15,-1.617039,0.157368,1.624678,0.100000,2.070769,7.484637,0.440000,0.300000,0.200000
16,-1.517306,0.164666,1.526215,0.100000,2.049331,7.389381,0.440000,0.300000,0.200000
17,-1.417498,0.170860,1.427758,0.100000,2.041768,7.294602,0.440000,0.300000,0.200000
18,-1.317626,0.175920,1.329318,0.100000,1.498645,7.200340,0.420000,0.280000,0.200000
19,-1.223818,0.141277,1.231946,0.100000,2.122713,7.127297,0.440000,0.280000,0.200000
20,-1.130011,0.106635,1.135031,0.100000,2.107245,7.054916,0.440000,0.300000,0.200000
21,-1.036203,0.071992,1.038701,0.100000,1.288685,6.983216,0.400000,0.260000,0.180000
22,-0.942395,0.037349,0.943135,0.100000,0.882930,6.912219,0.360000,0.240000,0.160000
23,-0.900559,-0.053479,0.902146,0.100000,1.026459,6.913045,0.380000,0.260000,0.180000
24,-0.810814,-0.009368,0.810868,0.100000,1.149827,6.813050,0.380000,0.260000,0.180000
25,-0.769037,-0.100223,0.775540,0.100000,1.769081,6.815383,0.440000,0.300000,0.200000
26,-0.724865,-0.189938,0.749337,0.100000,1.897191,6.816530,0.400000,0.260000,0.180000
27,-0.678266,-0.278417,0.733185,0.100000,1.545037,6.816421,0.360000,0.240000,0.160000
28,-0.629209,-0.365557,0.727692,0.100000,0.692143,6.814981,0.320000,0.220000,0.140000
29,-0.548795,-0.425002,0.694120,0.100000,1.726202,6.774036,0.340000,0.240000,0.160000
30,-0.495871,-0.509849,0.711220,0.100000,1.589477,6.770913,0.340000,0.220000,0.160000
31,-0.440358,-0.593025,0.738643,0.100000,1.563244,6.766187,0.320000,0.220000,0.140000
32,-0.355516,-0.645958,0.737328,0.100000,1.535237,6.721995,0.320000,0.200000,0.140000
33,-0.275201,-0.586380,0.647748,0.100000,1.589663,6.622290,0.320000,0.220000,0.140000
34,-0.218410,-0.668689,0.703455,0.100000,1.148311,6.618726,0.320000,0.200000,0.140000
35,-0.138165,-0.609016,0.624492,0.100000,1.535186,6.518931,0.320000,0.220000,0.140000
36,-0.081480,-0.691398,0.696182,0.100000,1.495189,6.516917,0.360000,0.260000,0.180000
37,-0.001318,-0.631615,0.631616,0.100000,1.440430,6.417047,0.320000,0.220000,0.160000
38,0.055246,-0.714080,0.716214,0.100000,1.466880,6.416649,0.300000,0.220000,0.160000
39,0.115158,-0.794147,0.802453,0.100000,1.453733,6.413692,0.260000,0.180000,0.120000
40,0.178448,-0.871569,0.889650,0.100000,1.438853,6.408003,0.280000,0.200000,0.140000
41,0.268580,-0.914886,0.953494,0.100000,1.121473,6.361853,0.320000,0.220000,0.140000
42,0.359796,-0.955868,1.021341,0.100000,1.339320,6.314657,0.300000,0.200000,0.140000
43,0.452102,-0.994334,1.092290,0.100000,1.298580,6.266273,0.280000,0.180000,0.120000
44,0.520862,-0.921725,1.058713,0.100000,0.887273,6.167193,0.280000,0.180000,0.120000
45,0.589415,-0.994529,1.156070,0.100000,0.807838,6.160047,0.240000,0.160000,0.120000
46,0.662255,-1.063044,1.252455,0.100000,1.227185,6.148470,0.280000,0.200000,0.140000
47,0.739358,-1.126725,1.347649,0.100000,1.150048,6.132106,0.260000,0.180000,0.140000
48,0.836749,-1.149417,1.421727,0.100000,1.145679,6.074731,0.240000,0.180000,0.120000
49,0.934985,-1.168117,1.496227,0.100000,1.154092,6.015128,0.240000,0.160000,0.120000
50,1.033966,-1.182357,1.570686,0.100000,1.173201,5.952984,0.280000,0.200000,0.140000
51,1.122439,-1.228967,1.664400,0.100000,0.639849,5.922096,0.260000,0.180000,0.120000
52,1.159709,-1.136171,1.623518,0.100000,1.113768,5.830478,0.280000,0.200000,0.140000
53,1.247659,-1.183760,1.719867,0.100000,1.119949,5.801547,0.260000,0.180000,0.140000
54,1.340956,-1.219758,1.812725,0.100000,1.068441,5.762139,0.260000,0.200000,0.140000
55,1.363100,-1.122240,1.765634,0.100000,1.051408,5.676709,0.260000,0.180000,0.140000
56,1.455570,-1.160309,1.861451,0.100000,0.988508,5.640018,0.240000,0.180000,0.140000
57,1.553705,-1.179530,1.950716,0.100000,0.920448,5.587151,0.220000,0.160000,0.120000
58,1.549157,-1.079634,1.888252,0.100000,0.881694,5.517106,0.220000,0.160000,0.120000
59,1.574392,-0.982870,1.856003,0.100000,0.414447,5.429590,0.220000,0.160000,0.120000
60,1.635174,-0.903462,1.868164,0.100000,0.782468,5.330220,0.200000,0.140000,0.100000
61,1.669739,-0.997298,1.944899,0.100000,0.770978,5.374579,0.200000,0.140000,0.100000
62,1.620434,-0.804555,1.809175,0.100000,0.785197,5.269803,0.140000,0.140000,0.100000
63,1.621653,-0.704562,1.768096,0.100000,0.749621,5.198443,0.180000,0.120000,0.080000
64,1.719666,-0.724394,1.866012,0.100000,0.336165,5.143023,0.120000,0.100000,0.080000
65,1.717115,-0.624427,1.827127,0.100000,0.694806,5.074187,0.160000,0.120000,0.080000
66,1.777401,-0.544642,1.858975,0.100000,0.661703,4.975273,0.160000,0.120000,0.080000
67,1.823951,-0.456138,1.880123,0.100000,0.651480,4.880194,0.160000,0.100000,0.080000
68,1.913644,-0.411920,1.957476,0.100000,0.603890,4.785070,0.160000,0.100000,0.080000
69,1.858946,-0.328205,1.887697,0.100000,0.599016,4.766600,0.140000,0.100000,0.060000
70,1.951832,-0.291160,1.973429,0.100000,0.652811,4.673682,0.140000,0.100000,0.080000
71,2.004666,-0.206257,2.015249,0.100000,0.678842,4.576911,0.160000,0.120000,0.080000
72,2.040835,-0.113027,2.043963,0.100000,0.692216,4.486818,0.140000,0.100000,0.080000
73,2.083312,-0.022497,2.083433,0.100000,0.521514,4.394301,0.100000,0.100000,0.080000
74,2.132238,0.064717,2.133220,0.100000,0.748711,4.299527,0.180000,0.120000,0.080000
75,2.038678,0.100025,2.041131,0.100000,0.688069,4.346505,0.140000,0.100000,0.080000
76,2.089687,0.186037,2.097952,0.100000,0.657293,4.251853,0.160000,0.120000,0.080000
77,1.995028,0.218282,2.006934,0.100000,0.673486,4.304061,0.160000,0.120000,0.080000
78,1.938838,0.301002,1.962064,0.100000,0.652572,4.296568,0.140000,0.100000,0.080000
79,1.867758,0.371342,1.904315,0.100000,0.630791,4.310725,0.160000,0.100000,0.080000
80,1.841160,0.467740,1.899645,0.100000,0.636217,4.275782,0.160000,0.120000,0.080000
81,1.928319,0.418715,1.973255,0.100000,0.500799,4.233865,0.140000,0.100000,0.080000
82,1.759313,0.525195,1.836032,0.100000,0.659190,4.310488,0.160000,0.120000,0.080000
83,1.720163,0.617212,1.827543,0.100000,0.693423,4.292613,0.160000,0.120000,0.080000
84,1.657027,0.694762,1.796784,0.100000,0.744426,4.305012,0.180000,0.120000,0.080000
85,1.615376,0.785675,1.796309,0.100000,0.788539,4.294403,0.140000,0.140000,0.100000
86,1.604768,0.885111,1.832676,0.100000,0.797476,4.254787,0.200000,0.140000,0.100000
87,1.637129,0.979730,1.907894,0.100000,0.796584,4.181375,0.200000,0.140000,0.100000
88,1.694442,0.897784,1.917589,0.100000,0.509025,4.170230,0.140000,0.120000,0.100000
89,1.701357,-1.092168,2.021744,0.100000,0.776957,5.423161,0.200000,0.140000,0.100000
90,1.736329,-1.185854,2.102638,0.100000,0.791139,5.470042,0.200000,0.140000,0.100000
91,1.774729,-1.278187,2.187105,0.100000,0.813185,5.515091,0.200000,0.140000,0.100000
92,1.816631,-1.368985,2.274702,0.100000,0.843609,5.558169,0.200000,0.140000,0.100000
93,1.862107,-1.458046,2.365024,0.100000,0.880978,5.599123,0.200000,0.140000,0.100000
94,1.911223,-1.545153,2.457696,0.100000,0.924119,5.637789,0.220000,0.160000,0.120000
95,1.964046,-1.630064,2.552368,0.100000,0.938702,5.673985,0.220000,0.160000,0.120000
96,2.062359,-1.648352,2.640149,0.100000,0.897513,5.631048,0.200000,0.140000,0.100000
97,2.160673,-1.666640,2.728772,0.100000,0.896506,5.589570,0.220000,0.140000,0.100000
98,2.258986,-1.684928,2.818156,0.100000,0.893343,5.549584,0.220000,0.160000,0.120000
99,2.356815,-1.664201,2.885159,0.100000,0.901029,5.478587,0.200000,0.140000,0.100000
100,2.410700,-1.748441,2.978006,0.100000,0.875541,5.518042,0.200000,0.140000,0.100000
101,2.491345,-1.689311,3.010078,0.100000,0.883304,5.428066,0.220000,0.160000,0.120000
102,2.575809,-1.635777,3.051321,0.100000,0.791646,5.338419,0.180000,0.140000,0.100000
103,2.623083,-1.723897,3.138851,0.100000,0.770873,5.306406,0.200000,0.140000,0.100000
104,2.677075,-1.808069,3.230456,0.100000,0.671479,5.250555,0.180000,0.120000,0.100000
105,2.737957,-1.887400,3.325461,0.100000,0.474107,5.189131,0.180000,0.120000,0.080000
106,2.805842,-1.960828,3.423097,0.100000,0.739863,5.121828,0.180000,0.120000,0.080000
107,2.880741,-2.027086,3.522463,0.100000,0.735972,5.048387,0.160000,0.120000,0.080000
108,2.962512,-2.084649,3.622463,0.100000,0.704632,4.968646,0.160000,0.120000,0.100000
109,3.050764,-2.131676,3.721721,0.100000,0.689511,4.882631,0.180000,0.120000,0.100000
110,3.150672,-2.127372,3.801637,0.100000,0.150822,4.782634,0.140000,0.100000,0.080000
111,3.247372,-2.152848,3.896175,0.100000,0.616213,4.687457,0.160000,0.120000,0.080000
112,3.341750,-2.119789,3.957373,0.100000,0.661639,4.591419,0.160000,0.120000,0.080000
113,3.441344,-2.110786,4.037111,0.100000,0.658869,4.491495,0.140000,0.100000,0.080000
114,3.531723,-2.067989,4.092633,0.100000,0.636395,4.399232,0.140000,0.100000,0.080000
115,3.591763,-1.988019,4.105239,0.100000,0.465653,4.336582,0.140000,0.100000,0.080000
116,3.492030,-1.995325,4.021890,0.100000,0.556025,4.436465,0.120000,0.100000,0.060000
117,3.679117,-1.939344,4.158961,0.100000,0.569617,4.248336,0.140000,0.100000,0.080000
118,3.735313,-1.856628,4.171286,0.100000,0.548300,4.191860,0.120000,0.080000,0.060000
119,3.787852,-1.771541,4.181648,0.100000,0.474975,4.140751,0.120000,0.100000,0.060000
120,3.836190,-1.684001,4.189536,0.100000,0.537254,4.095761,0.120000,0.080000,0.060000
121,3.910799,-1.617416,4.232066,0.100000,0.578129,4.025097,0.140000,0.100000,0.080000
122,3.977446,-1.542863,4.266205,0.100000,0.611910,3.964308,0.140000,0.100000,0.080000
123,3.998364,-1.445075,4.251489,0.100000,0.648892,3.953116,0.080000,0.080000,0.080000
124,4.048244,-1.358403,4.270075,0.100000,0.705015,3.914231,0.160000,0.100000,0.080000
125,3.954228,-1.324332,4.170105,0.100000,0.619662,4.012025,0.140000,0.100000,0.080000
126,4.006906,-1.239333,4.194191,0.100000,0.679706,3.972763,0.160000,0.120000,0.080000
127,3.930047,-1.175358,4.102041,0.100000,0.646178,4.059294,0.140000,0.100000,0.080000
128,3.901941,-1.079389,4.048484,0.100000,0.636208,4.104690,0.160000,0.100000,0.080000
129,3.837918,-1.002571,3.966707,0.100000,0.646282,4.182994,0.160000,0.120000,0.080000
130,3.779399,-0.921482,3.890113,0.100000,0.665520,4.158149,0.160000,0.120000,0.100000
131,3.727094,-0.836251,3.819757,0.100000,0.690464,4.099419,0.160000,0.120000,0.080000
132,3.719376,-0.736550,3.791605,0.100000,0.684037,4.010973,0.120000,0.120000,0.080000
133,3.678474,-0.645297,3.734646,0.100000,0.681267,3.944580,0.160000,0.120000,0.080000
134,3.773299,-0.613542,3.822855,0.100000,0.633033,3.876666,0.120000,0.100000,0.080000
135,3.731479,-0.522707,3.767911,0.100000,0.590020,3.811064,0.140000,0.100000,0.080000
136,3.826686,-0.492121,3.858201,0.100000,0.607152,3.744026,0.140000,0.100000,0.080000
137,3.893471,-0.417691,3.915812,0.100000,0.575308,3.649151,0.140000,0.100000,0.060000
138,3.953384,-0.337626,3.967775,0.100000,0.568044,3.552022,0.140000,0.100000,0.080000
139,4.003929,-0.251340,4.011810,0.100000,0.589428,3.452904,0.140000,0.100000,0.080000
