node,re_z,im_z,abs_z,R_ii,R_va,R_iv_1e8,R_vb_1e8,R_iv_1e6,R_vb_1e6,R_iv_1e10,R_vb_1e10
1,-3.000000,0.000000,3.000000,2.056330,1.662110,0.320000,0.798779,0.500000,0.967743,0.200000,0.659316
2,-2.901871,0.019251,2.901934,2.069740,1.647922,0.340000,0.769420,0.520000,0.939983,0.220000,0.629807
3,-2.803589,0.037713,2.803843,1.961736,1.649300,0.340000,0.757532,0.520000,0.925460,0.220000,0.620076
4,-2.705160,0.055368,2.705727,1.001608,1.623262,0.300000,0.771871,0.460000,0.942977,0.200000,0.631813
5,-2.606587,0.072199,2.607587,1.723299,1.615702,0.320000,0.753793,0.480000,0.920892,0.200000,0.617015
6,-2.507873,0.088188,2.509423,2.094019,1.610392,0.320000,0.744007,0.500000,0.908936,0.220000,0.609004
7,-2.409024,0.103315,2.411239,2.172383,1.584626,0.300000,0.742616,0.460000,0.907237,0.200000,0.607866
8,-2.310044,0.117562,2.313034,2.207120,1.556674,0.280000,0.728357,0.440000,0.889817,0.180000,0.596194
9,-2.213376,0.091965,2.215285,1.964260,1.559264,0.280000,0.721813,0.440000,0.881822,0.180000,0.590838
10,-2.114270,0.105310,2.116891,1.784166,1.527499,0.300000,0.714014,0.460000,0.872294,0.200000,0.584454
11,-2.015042,0.117710,2.018477,2.082296,1.503932,0.320000,0.701695,0.460000,0.857245,0.220000,0.574370
12,-1.915697,0.129141,1.920045,2.061231,1.485485,0.300000,0.689981,0.460000,0.842935,0.200000,0.564782
13,-1.816243,0.139578,1.821599,1.901101,1.468483,0.300000,0.684670,0.440000,0.836445,0.200000,0.560434
14,-1.716688,0.148996,1.723142,2.087596,1.458867,0.300000,0.677989,0.440000,0.828284,0.200000,0.554966
15,-1.617039,0.157368,1.624678,2.070769,1.453440,0.300000,0.675141,0.440000,0.824804,0.200000,0.552634
16,-1.517306,0.164666,1.526215,2.049331,1.453199,0.300000,0.675730,0.440000,0.825524,0.200000,0.553116
17,-1.417498,0.170860,1.427758,2.041768,1.460989,0.300000,0.677540,0.440000,0.827736,0.200000,0.554599
18,-1.317626,0.175920,1.329318,1.498645,1.476256,0.280000,0.685664,0.420000,0.837661,0.200000,0.561248
19,-1.223818,0.141277,1.231946,2.122713,1.540357,0.280000,0.720842,0.440000,0.880637,0.200000,0.590043
20,-1.130011,0.106635,1.135031,2.107245,1.619462,0.300000,0.760224,0.440000,0.921032,0.200000,0.627492
21,-1.036203,0.071992,1.038701,1.288685,1.562374,0.260000,0.723797,0.400000,0.884246,0.180000,0.592462
22,-0.942395,0.037349,0.943135,0.882930,1.527640,0.240000,0.698245,0.360000,0.853030,0.160000,0.571546
23,-0.900559,-0.053479,0.902146,1.026459,1.509908,0.260000,0.689951,0.380000,0.842897,0.180000,0.564757
24,-0.810814,-0.009368,0.810868,1.149827,1.460630,0.260000,0.674942,0.380000,0.824562,0.180000,0.552472
25,-0.769037,-0.100223,0.775540,1.769081,1.437780,0.300000,0.677822,0.440000,0.828080,0.200000,0.554829
26,-0.724865,-0.189938,0.749337,1.897191,1.423451,0.260000,0.638718,0.400000,0.780307,0.180000,0.522820
27,-0.678266,-0.278417,0.733185,1.545037,1.308098,0.240000,0.601527,0.360000,0.734872,0.160000,0.492378
28,-0.629209,-0.365557,0.727692,0.692143,1.243460,0.220000,0.577238,0.320000,0.705198,0.140000,0.472496
29,-0.548795,-0.425002,0.694120,1.726202,1.191669,0.240000,0.553890,0.340000,0.676675,0.160000,0.453385
30,-0.495871,-0.509849,0.711220,1.589477,1.120117,0.220000,0.517499,0.340000,0.632217,0.160000,0.423597
31,-0.440358,-0.593025,0.738643,1.563244,1.054579,0.220000,0.487984,0.320000,0.596159,0.140000,0.399438
32,-0.355516,-0.645958,0.737328,1.535237,1.014499,0.200000,0.469479,0.320000,0.573552,0.140000,0.384291
33,-0.275201,-0.586380,0.647748,1.589663,1.063727,0.220000,0.488689,0.320000,0.597020,0.140000,0.400015
34,-0.218410,-0.668689,0.703455,1.148311,1.004873,0.200000,0.471499,0.320000,0.576019,0.140000,0.385944
35,-0.138165,-0.609016,0.624492,1.535186,1.020873,0.220000,0.491478,0.320000,0.600428,0.140000,0.402298
36,-0.081480,-0.691398,0.696182,1.495189,1.004811,0.260000,0.464595,0.360000,0.567586,0.180000,0.380293
37,-0.001318,-0.631615,0.631616,1.440430,0.931715,0.220000,0.445361,0.320000,0.544088,0.160000,0.364549
38,0.055246,-0.714080,0.716214,1.466880,0.921046,0.220000,0.446156,0.300000,0.545059,0.160000,0.365200
39,0.115158,-0.794147,0.802453,1.453733,0.915274,0.180000,0.438336,0.260000,0.535505,0.120000,0.358798
40,0.178448,-0.871569,0.889650,1.438853,0.902702,0.200000,0.443026,0.280000,0.541234,0.140000,0.362637
41,0.268580,-0.914886,0.953494,1.121473,0.873660,0.220000,0.419161,0.320000,0.512079,0.140000,0.343103
42,0.359796,-0.955868,1.021341,1.339320,0.844418,0.200000,0.398266,0.300000,0.486552,0.140000,0.325999
43,0.452102,-0.994334,1.092290,1.298580,0.815872,0.180000,0.389037,0.280000,0.475277,0.120000,0.318445
44,0.520862,-0.921725,1.058713,0.887273,0.743283,0.180000,0.361568,0.280000,0.441720,0.120000,0.295961
45,0.589415,-0.994529,1.156070,0.807838,0.751912,0.160000,0.369677,0.240000,0.451626,0.120000,0.302598
46,0.662255,-1.063044,1.252455,1.227185,0.759646,0.200000,0.383821,0.280000,0.468906,0.140000,0.314176
47,0.739358,-1.126725,1.347649,1.150048,0.734419,0.180000,0.369537,0.260000,0.451455,0.140000,0.302483
48,0.836749,-1.149417,1.421727,1.145679,0.715874,0.180000,0.356665,0.240000,0.435729,0.120000,0.291947
49,0.934985,-1.168117,1.496227,1.154092,0.698167,0.160000,0.351988,0.240000,0.430016,0.120000,0.288119
50,1.033966,-1.182357,1.570686,1.173201,0.693180,0.200000,0.341009,0.280000,0.416603,0.140000,0.279132
51,1.122439,-1.228967,1.664400,0.639849,0.673980,0.180000,0.328778,0.260000,0.401660,0.120000,0.269120
52,1.159709,-1.136171,1.623518,1.113768,0.676657,0.200000,0.339148,0.280000,0.414329,0.140000,0.277608
53,1.247659,-1.183760,1.719867,1.119949,0.700343,0.180000,0.349631,0.260000,0.427137,0.140000,0.286190
54,1.340956,-1.219758,1.812725,1.068441,0.676346,0.200000,0.352887,0.260000,0.431114,0.140000,0.288854
55,1.363100,-1.122240,1.765634,1.051408,0.648924,0.180000,0.346070,0.260000,0.420871,0.140000,0.283274
56,1.455570,-1.160309,1.861451,0.988508,0.590009,0.180000,0.310065,0.240000,0.378800,0.140000,0.253803
